,ROUND,TEAM,OPP,#,NAME,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
0,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,5,"McKay, Jameel",40,3,7,0,1,2,8,6,7,2,0,2,0,2,8
1,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,24,"Nguyen, Stefan",32,7,19,0,3,3,5,0,2,3,6,0,0,3,17
2,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,1,"Dinh-Tien, Cong",32,2,7,1,5,4,4,0,1,2,0,0,0,5,9
3,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,12,"Tu-Le, Ngoc",26,4,11,1,3,2,3,4,6,0,0,0,0,2,11
4,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,2,"Nguyen, Henry",26,2,6,2,6,0,0,0,6,1,2,0,0,3,6
5,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,14,"Bui-Thai, Ha",13,2,2,0,0,0,0,0,2,0,1,0,0,3,4
6,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,9,"Do Xuan, Nam",13,1,4,0,2,0,0,0,0,0,1,0,0,1,2
7,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,7,"Nguyen Huynh, Hai",10,1,3,1,2,1,2,0,3,0,2,0,0,0,4
8,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,88,"Nguyen Quang, Anh",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,11,"Doan, Tung",1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
10,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,19,"Ngoc, Tran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,15,"Nguyen Van, Vinh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,20,"Hill, Jaywuan",38,8,20,0,1,5,9,6,8,4,3,1,0,1,21
1,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,12,"Young, Justin",38,2,9,0,2,2,2,0,5,5,2,0,0,3,6
2,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,3,"Nguyen Thanh, Dat",31,5,9,4,6,0,0,1,4,1,2,0,0,5,14
3,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,83,"Nguyen, Duong",31,3,6,0,1,3,7,0,2,0,2,0,0,0,9
4,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,21,"Hoang-The, Hien",30,5,10,0,0,1,2,1,4,1,3,0,0,3,11
5,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,1,"Nguyen Xuan, Quoc",14,1,4,0,0,1,2,2,2,0,1,0,0,5,3
6,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,6,"Truong-Hoang, Trung",14,0,4,0,2,0,0,0,2,0,0,0,0,4,0
7,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,8,"Doan-Nhat, Quang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,18,"Pham-Thanh, Nam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,24,"Mai-Viet, Anh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,9,"B?ch Cong, Trung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,0,"Hong Gia, Lan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,3,"Nguyen-Phu, Hoang",35,5,13,3,7,4,7,0,2,4,3,1,4,1,17
1,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,34,"Vigilance, Michael",33,10,15,1,3,3,9,5,12,1,1,1,1,5,24
2,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,23,"Dinh-Thanh, Tam",33,6,15,2,8,1,1,0,3,1,1,0,2,2,15
3,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,65,"Le-Hieu, Thanh",33,0,6,0,4,1,2,0,5,3,3,0,4,3,1
4,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,19,"Dinh-Thanh, Sang",27,0,5,0,0,0,2,1,3,4,2,0,1,1,0
5,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,52,"Nguyen Hoang, Tu",16,3,9,2,5,0,0,1,1,0,0,0,0,1,8
6,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,15,"Tang-Minh, Tri",9,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,14,"Huynh, Khang",6,1,2,0,0,0,0,1,2,0,0,0,1,1,2
8,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,18,"Hoang-Minh, Khoa",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,0,"Nguyen Thinh, Hung",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,8,"Tran-Nguyen, Duong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,9,"Nguyen Quang, Huy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 2,Hochiminh-City-Wings,Can-Tho-Catfish,33,"Martin, Wayne",38,12,28,0,4,4,8,7,15,2,0,1,1,2,28
1,Regular 2,Hochiminh-City-Wings,Can-Tho-Catfish,3,"Soy, Michael",35,9,20,6,12,0,0,0,5,3,1,0,3,1,24
2,Regular 2,Hochiminh-City-Wings,Can-Tho-Catfish,4,"Nguyen-Quang, Vinh",30,6,13,1,2,3,4,0,6,4,3,0,2,4,16
3,Regular 2,Hochiminh-City-Wings,Can-Tho-Catfish,16,"Cao Dac, Luan",19,2,2,0,0,1,2,2,2,1,0,0,1,1,5
4,Regular 2,Hochiminh-City-Wings,Can-Tho-Catfish,19,"Nguyen-Le-Quoc, Cuong",18,1,2,1,2,0,0,3,2,1,0,0,2,4,3
5,Regular 2,Hochiminh-City-Wings,Can-Tho-Catfish,14,"Nguyen-Ky, Quan",17,1,2,0,1,0,0,0,3,1,0,0,1,2,2
6,Regular 2,Hochiminh-City-Wings,Can-Tho-Catfish,12,"Nguyen-Quoc, Thai",12,2,6,0,0,0,2,4,1,0,0,0,1,0,4
7,Regular 2,Hochiminh-City-Wings,Can-Tho-Catfish,15,"Le-Tran-Dang, Huynh",10,2,5,0,2,0,0,0,1,2,2,0,1,1,4
